feature,weight,feature_desc,odds_ratio,model,cutoff
5772,0.466935927654489,Cyst and pseudocyst of pancreas,1.5950991983958138,lr,365
1749,0.35555610087525136,"Malignant neoplasm of breast (female), unspecified",1.426973975154364,lr,365
25000,0.3411626981590476,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",1.4065820705600085,lr,365
4011,0.32245170038265364,Benign essential hypertension,1.38050821123094,lr,365
1539,0.2601714540455798,"Malignant neoplasm of colon, unspecified site",1.2971524696396504,lr,365
70219,0.25136831194050074,Other seborrheic keratosis,1.2857835665717294,lr,365
5778,0.24410551877812633,Other specified diseases of pancreas,1.2764790158894708,lr,365
4439,0.24275121983964829,"Peripheral vascular disease, unspecified",1.2747514517964185,lr,365
5779,0.24161938687688528,Unspecified disease of pancreas,1.2733094622835144,lr,365
4010,0.23626457030870257,Malignant essential hypertension,1.2665093466133857,lr,365
7993,0.23127738468327896,"Debility, unspecified",1.260208753578034,lr,365
2720,0.22895033748868734,Pure hypercholesterolemia,1.2572795977971094,lr,365
V0481,0.22444677995103476,Need for prophylactic vaccination and inoculation against influenza,1.2516300977603585,lr,365
3051,0.21614933204713543,Tobacco use disorder,1.2412877291986504,lr,365
5762,0.21577961513871793,Obstruction of bile duct,1.2408288889626777,lr,365
5789,0.21098857429469114,"Hemorrhage of gastrointestinal tract, unspecified",1.2348982453973498,lr,365
V1005,0.20900108591955802,Personal history of malignant neoplasm of large intestine,1.2324463368671097,lr,365
78650,0.2062301657000328,"Chest pain, unspecified",1.2290360533865425,lr,365
5771,0.19565981980940492,Chronic pancreatitis,1.2161131373616196,lr,365
4019,0.1903516898936745,Unspecified essential hypertension,1.2096749533119358,lr,365
25002,0.18929542630280494,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",1.2083978922772367,lr,365
4241,0.18358227927377357,Aortic valve disorders,1.2015138210293757,lr,365
7810,0.18123286597142668,Abnormal involuntary movements,1.1986942819035873,lr,365
72670,0.18082291279958332,"Enthesopathy of ankle and tarsus, unspecified",1.1982029740941287,lr,365
78609,0.163144349437453,Other respiratory abnormalities,1.1772066065358908,lr,365
78702,0.1624013124977769,Nausea alone,1.176332223431306,lr,365
5761,0.1620914074604264,Cholangitis,1.1759677286319714,lr,365
4279,0.15475103881940722,"Cardiac dysrhythmia, unspecified",1.1673672957842918,lr,365
49390,0.15280796514903427,"Asthma, unspecified type, unspecified",1.165101217419773,lr,365
7030,0.14904317914864773,Ingrowing nail,1.1607231071626356,lr,365
42731,0.14894173841998942,Atrial fibrillation,1.1606053685367215,lr,365
2724,0.1469419407681712,Other and unspecified hyperlipidemia,1.158286711840871,lr,365
1978,0.14374045740126842,Secondary malignant neoplasm of other digestive organs and spleen,1.1545844057966481,lr,365
1733,0.14054771837663646,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,1.1509039975249657,lr,365
7020,0.14054209298651785,Actinic keratosis,1.1508975232592007,lr,365
